,city,country,avg_dhaka_temp,avg_global_temp,Moving_Average_Dhaka_Temperature,Moving_Average_Global_Temperture
1796,Dhaka,Bangladesh,25.35,8.27,,
1797,Dhaka,Bangladesh,26.36,8.51,,
1798,Dhaka,Bangladesh,25.22,8.67,,
1799,Dhaka,Bangladesh,25.61,8.51,,
1800,Dhaka,Bangladesh,25.54,8.48,,
1801,Dhaka,Bangladesh,25.14,8.59,,
1802,Dhaka,Bangladesh,25.98,8.58,,
1803,Dhaka,Bangladesh,25.73,8.5,,
1804,Dhaka,Bangladesh,26.05,8.84,,
1805,Dhaka,Bangladesh,25.64,8.56,25.662,8.551
1806,Dhaka,Bangladesh,25.56,8.43,25.683,8.567
1807,Dhaka,Bangladesh,25.15,8.28,25.562,8.544
1808,Dhaka,Bangladesh,,7.63,25.6,8.44
1809,Dhaka,Bangladesh,,7.08,25.59875,8.297
1810,Dhaka,Bangladesh,,6.92,25.60714286,8.141
1811,Dhaka,Bangladesh,,6.86,25.685,7.968
1812,Dhaka,Bangladesh,,7.05,25.626,7.815
1813,Dhaka,Bangladesh,24.9,7.74,25.46,7.739
1814,Dhaka,Bangladesh,24.51,7.59,25.152,7.614
1815,Dhaka,Bangladesh,24.43,7.24,24.91,7.482
1816,Dhaka,Bangladesh,24.19,6.94,24.636,7.333
1817,Dhaka,Bangladesh,24.21,6.98,24.448,7.203
1818,Dhaka,Bangladesh,24.26,7.83,24.41666667,7.223
1819,Dhaka,Bangladesh,24.01,7.37,24.35857143,7.252
1820,Dhaka,Bangladesh,24.33,7.62,24.355,7.322
1821,Dhaka,Bangladesh,25.26,8.09,24.45555556,7.445
1822,Dhaka,Bangladesh,25.46,8.19,24.556,7.559
1823,Dhaka,Bangladesh,25.1,7.72,24.576,7.557
1824,Dhaka,Bangladesh,25.64,8.55,24.689,7.653
1825,Dhaka,Bangladesh,25.44,8.39,24.79,7.768
1826,Dhaka,Bangladesh,25.46,8.36,24.917,7.91
1827,Dhaka,Bangladesh,25.66,8.81,25.062,8.093
1828,Dhaka,Bangladesh,25.24,8.17,25.16,8.127
1829,Dhaka,Bangladesh,25.05,7.94,25.264,8.184
1830,Dhaka,Bangladesh,25.38,8.52,25.369,8.274
1831,Dhaka,Bangladesh,24.79,7.64,25.322,8.229
1832,Dhaka,Bangladesh,25.16,7.45,25.292,8.155
1833,Dhaka,Bangladesh,25.23,8.01,25.305,8.184
1834,Dhaka,Bangladesh,25.01,8.15,25.242,8.144
1835,Dhaka,Bangladesh,23.98,7.39,25.096,8.044
1836,Dhaka,Bangladesh,25.04,7.7,25.054,7.978
1837,Dhaka,Bangladesh,24.9,7.38,24.978,7.835
1838,Dhaka,Bangladesh,24.85,7.51,24.939,7.769
1839,Dhaka,Bangladesh,24.89,7.63,24.923,7.738
1840,Dhaka,Bangladesh,25.28,7.8,24.913,7.666
1841,Dhaka,Bangladesh,25.38,7.69,24.972,7.671
1842,Dhaka,Bangladesh,25.04,8.02,24.96,7.728
1843,Dhaka,Bangladesh,25.1,8.17,24.947,7.744
1844,Dhaka,Bangladesh,24.67,7.65,24.913,7.694
1845,Dhaka,Bangladesh,24.85,7.85,25,7.74
1846,Dhaka,Bangladesh,25.03,8.55,24.999,7.825
1847,Dhaka,Bangladesh,24.7,8.09,24.979,7.896
1848,Dhaka,Bangladesh,24.73,7.98,24.967,7.943
1849,Dhaka,Bangladesh,24.71,7.98,24.949,7.978
1850,Dhaka,Bangladesh,25.23,7.9,24.944,7.988
1851,Dhaka,Bangladesh,25.21,8.18,24.927,8.037
1852,Dhaka,Bangladesh,24.91,8.1,24.914,8.045
1853,Dhaka,Bangladesh,25.39,8.04,24.943,8.032
1854,Dhaka,Bangladesh,25.4,8.21,25.016,8.088
1855,Dhaka,Bangladesh,25.33,8.11,25.064,8.114
1856,Dhaka,Bangladesh,24.89,8,25.05,8.059
1857,Dhaka,Bangladesh,24.62,7.76,25.042,8.026
1858,Dhaka,Bangladesh,25.22,8.1,25.091,8.038
1859,Dhaka,Bangladesh,25.28,8.25,25.148,8.065
1860,Dhaka,Bangladesh,25.01,7.96,25.126,8.071
1861,Dhaka,Bangladesh,24.94,7.85,25.099,8.038
1862,Dhaka,Bangladesh,20.49,7.56,24.657,7.984
1863,Dhaka,Bangladesh,25.15,8.11,24.633,7.991
1864,Dhaka,Bangladesh,24.98,7.98,24.591,7.968
1865,Dhaka,Bangladesh,25.36,8.18,24.594,7.975
1866,Dhaka,Bangladesh,25.46,8.29,24.651,8.004
1867,Dhaka,Bangladesh,25.43,8.44,24.732,8.072
1868,Dhaka,Bangladesh,25.07,8.25,24.717,8.087
1869,Dhaka,Bangladesh,25.05,8.43,24.694,8.105
1870,Dhaka,Bangladesh,25.13,8.2,24.706,8.129
1871,Dhaka,Bangladesh,25.35,8.12,24.747,8.156
1872,Dhaka,Bangladesh,25.35,8.19,25.233,8.219
1873,Dhaka,Bangladesh,25.35,8.35,25.253,8.243
1874,Dhaka,Bangladesh,25.15,8.43,25.27,8.288
1875,Dhaka,Bangladesh,25.22,7.86,25.256,8.256
1876,Dhaka,Bangladesh,25.14,8.08,25.224,8.235
1877,Dhaka,Bangladesh,25.08,8.54,25.189,8.245
1878,Dhaka,Bangladesh,25.82,8.83,25.264,8.303
1879,Dhaka,Bangladesh,25.79,8.17,25.338,8.277
1880,Dhaka,Bangladesh,25.18,8.12,25.343,8.269
1881,Dhaka,Bangladesh,25.21,8.27,25.329,8.284
1882,Dhaka,Bangladesh,25.47,8.13,25.341,8.278
